iter	Passed	Remaining
874	62605	8943
875	62671	8871
876	62730	8798
877	62790	8724
878	62847	8651
879	62904	8577
880	62963	8504
881	63015	8430
882	63067	8356
883	63118	8282
884	63167	8208
885	63221	8134
886	63273	8060
887	63326	7987
888	63384	7914
889	63437	7840
890	63491	7767
891	63583	7698
892	63634	7624
893	63687	7551
894	63739	7477
895	63793	7404
896	63842	7330
897	63894	7257
898	63949	7184
899	64005	7111
900	64058	7038
901	64115	6966
902	64173	6893
903	64233	6821
904	64287	6748
905	64338	6675
906	64391	6602
907	64444	6529
908	64499	6457
909	64598	6388
910	64650	6316
911	64702	6243
912	64755	6170
913	64803	6097
914	64856	6024
915	64906	5952
916	64955	5879
917	65016	5807
918	65093	5737
919	65169	5666
920	65232	5595
921	65296	5523
922	65349	5451
923	65405	5379
924	65457	5307
925	65515	5235
926	65562	5162
927	65660	5094
928	65712	5022
929	65770	4950
930	65838	4879
931	65893	4807
932	65944	4735
933	66005	4664
934	66076	4593
935	66135	4522
936	66189	4450
937	66252	4379
938	66307	4307
939	66371	4236
940	66433	4165
941	66498	4094
942	66570	4023
943	66629	3952
944	66729	3883
945	66783	3812
946	66837	3740
947	66890	3669
948	66955	3598
949	67011	3526
950	67070	3455
951	67130	3384
952	67189	3313
953	67282	3244
954	67353	3173
955	67422	3103
956	67470	3031
957	67522	2960
958	67592	2889
959	67645	2818
960	67703	2747
961	67795	2678
962	67914	2609
963	68021	2540
964	68085	2469
965	68144	2398
966	68196	2327
967	68247	2256
968	68303	2185
969	68356	2114
970	68417	2043
971	68468	1972
972	68520	1901
973	68573	1830
974	68626	1759
975	68696	1689
976	68785	1619
977	68853	1548
978	68912	1478
979	68969	1407
980	69022	1336
981	69082	1266
982	69138	1195
983	69191	1125
984	69241	1054
985	69292	983
986	69349	913
987	69402	842
988	69455	772
989	69509	702
990	69560	631
991	69612	561
992	69666	491
993	69723	420
994	69781	350
995	69880	280
996	69938	210
997	69994	140
998	70064	70
999	70123	0
