iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
471	249	280	249	340	249	340	280
472	248	279	248	340	248	340	279
473	248	279	248	340	248	340	279
474	248	279	248	340	248	340	279
475	248	279	248	340	248	340	279
476	248	279	248	340	248	340	279
477	248	279	248	340	248	340	279
478	249	280	249	340	249	340	280
479	249	280	249	340	249	340	280
480	249	280	249	340	249	340	280
481	249	280	249	340	249	340	280
482	249	280	249	340	249	340	280
483	249	280	249	340	249	340	280
484	249	280	249	340	249	340	280
485	249	280	249	340	249	340	280
486	249	280	249	340	249	340	280
487	248	279	248	340	248	340	279
488	248	279	248	340	248	340	279
489	248	279	248	340	248	340	279
490	249	280	249	340	249	340	280
491	249	280	249	340	249	340	280
492	249	280	249	340	249	340	280
493	249	280	249	340	249	340	280
494	250	281	250	340	250	340	281
495	250	281	250	340	250	340	281
496	250	281	250	340	250	340	281
497	250	281	250	340	250	340	281
498	250	281	250	340	250	340	281
499	250	281	250	340	250	340	281
500	250	281	250	340	250	340	281
501	251	284	251	340	251	340	284
502	251	284	251	340	251	340	284
503	251	284	251	340	251	340	284
504	252	285	252	340	252	340	285
505	252	285	252	340	252	340	285
506	252	285	252	340	252	340	285
507	252	285	252	340	252	340	285
508	252	285	252	340	252	340	285
509	252	285	252	340	252	340	285
510	252	285	252	340	252	340	285
511	252	285	252	340	252	340	285
512	252	285	252	340	252	340	285
513	251	284	251	340	251	340	284
514	250	283	250	340	250	340	283
515	250	283	250	340	250	340	283
516	250	283	250	340	250	340	283
517	250	283	250	340	250	340	283
518	250	283	250	340	250	340	283
519	250	283	250	340	250	340	283
520	250	283	250	340	250	340	283
521	250	283	250	340	250	340	283
522	250	283	250	340	250	340	283
523	250	283	250	340	250	340	283
524	250	283	250	340	250	340	283
525	251	284	251	340	251	340	284
526	251	284	251	340	251	340	284
527	256	291	256	340	256	340	291
528	256	291	256	340	256	340	291
529	256	291	256	340	256	340	291
530	256	291	256	340	256	340	291
531	256	289	256	340	256	340	289
532	256	289	256	340	256	340	289
533	256	291	256	340	256	340	291
534	256	291	256	340	256	340	291
535	256	291	256	340	256	340	291
536	256	291	256	340	256	340	291
537	256	291	256	340	256	340	291
538	256	291	256	340	256	340	291
539	256	289	256	340	256	340	289
540	256	289	256	340	256	340	289
541	256	289	256	340	256	340	289
542	256	289	256	340	256	340	289
543	255	288	255	340	255	340	288
544	255	288	255	340	255	340	288
545	255	288	255	340	255	340	288
546	255	287	255	340	255	340	287
547	255	287	255	340	255	340	287
548	254	287	254	340	254	340	287
549	254	287	254	340	254	340	287
550	254	287	254	340	254	340	287
551	254	287	254	340	254	340	287
552	254	287	254	340	254	340	287
553	254	287	254	340	254	340	287
554	255	288	255	340	255	340	288
555	255	288	255	340	255	340	288
556	254	287	254	340	254	340	287
557	255	288	255	340	255	340	288
558	255	288	255	340	255	340	288
559	255	288	255	340	255	340	288
560	255	288	255	340	255	340	288
561	255	288	255	340	255	340	288
562	255	288	255	340	255	340	288
563	255	288	255	340	255	340	288
564	254	287	254	340	254	340	287
565	255	288	255	340	255	340	288
566	255	288	255	340	255	340	288
567	255	288	255	340	255	340	288
568	255	288	255	340	255	340	288
569	255	288	255	340	255	340	288
570	255	288	255	340	255	340	288
571	255	288	255	340	255	340	288
572	255	288	255	340	255	340	288
573	255	288	255	340	255	340	288
574	255	288	255	340	255	340	288
575	255	288	255	340	255	340	288
576	255	288	255	340	255	340	288
577	255	288	255	340	255	340	288
578	255	288	255	340	255	340	288
579	255	288	255	340	255	340	288
580	255	288	255	340	255	340	288
581	255	288	255	340	255	340	288
582	255	288	255	340	255	340	288
583	255	288	255	340	255	340	288
584	255	288	255	340	255	340	288
585	255	288	255	340	255	340	288
586	255	288	255	340	255	340	288
587	255	288	255	340	255	340	288
588	255	287	255	340	255	340	287
589	255	287	255	340	255	340	287
590	255	287	255	340	255	340	287
591	255	287	255	340	255	340	287
592	255	288	255	340	255	340	288
593	255	287	255	340	255	340	287
594	255	288	255	340	255	340	288
595	255	288	255	340	255	340	288
596	255	288	255	340	255	340	288
597	256	289	256	340	256	340	289
598	256	289	256	340	256	340	289
599	256	289	256	340	256	340	289
600	256	289	256	340	256	340	289
601	256	289	256	340	256	340	289
602	256	289	256	340	256	340	289
603	257	290	257	340	257	340	290
604	257	290	257	340	257	340	290
605	257	290	257	340	257	340	290
606	257	290	257	340	257	340	290
607	257	290	257	340	257	340	290
608	257	290	257	340	257	340	290
609	257	290	257	340	257	340	290
610	257	290	257	340	257	340	290
611	257	290	257	340	257	340	290
612	257	290	257	340	257	340	290
613	257	290	257	340	257	340	290
614	257	290	257	340	257	340	290
615	258	291	258	340	258	340	291
616	258	291	258	340	258	340	291
617	258	291	258	340	258	340	291
618	258	291	258	340	258	340	291
619	258	291	258	340	258	340	291
620	258	291	258	340	258	340	291
621	258	291	258	340	258	340	291
622	258	291	258	340	258	340	291
623	258	291	258	340	258	340	291
624	258	291	258	340	258	340	291
625	258	291	258	340	258	340	291
626	258	291	258	340	258	340	291
627	258	291	258	340	258	340	291
628	258	291	258	340	258	340	291
629	258	291	258	340	258	340	291
630	259	292	259	340	259	340	292
631	259	292	259	340	259	340	292
632	259	292	259	340	259	340	292
633	259	292	259	340	259	340	292
634	259	292	259	340	259	340	292
635	259	292	259	340	259	340	292
636	259	292	259	340	259	340	292
637	259	292	259	340	259	340	292
638	259	292	259	340	259	340	292
639	259	292	259	340	259	340	292
640	259	292	259	340	259	340	292
641	259	292	259	340	259	340	292
642	259	292	259	340	259	340	292
643	259	292	259	340	259	340	292
644	259	292	259	340	259	340	292
645	259	292	259	340	259	340	292
646	259	292	259	340	259	340	292
647	259	292	259	340	259	340	292
648	259	292	259	340	259	340	292
649	259	292	259	340	259	340	292
650	259	292	259	340	259	340	292
651	259	292	259	340	259	340	292
652	259	292	259	340	259	340	292
653	259	292	259	340	259	340	292
654	259	292	259	340	259	340	292
655	259	292	259	340	259	340	292
656	259	292	259	340	259	340	292
657	259	292	259	340	259	340	292
658	259	292	259	340	259	340	292
659	261	295	261	340	261	340	295
660	261	295	261	340	261	340	295
661	261	295	261	340	261	340	295
662	259	292	259	340	259	340	292
663	261	295	261	340	261	340	295
664	261	295	261	340	261	340	295
665	261	295	261	340	261	340	295
666	261	295	261	340	261	340	295
667	259	292	259	340	259	340	292
668	259	292	259	340	259	340	292
669	259	292	259	340	259	340	292
670	259	292	259	340	259	340	292
671	259	292	259	340	259	340	292
672	259	292	259	340	259	340	292
673	259	292	259	340	259	340	292
674	261	295	261	340	261	340	295
675	261	295	261	340	261	340	295
676	261	295	261	340	261	340	295
677	261	295	261	340	261	340	295
678	261	295	261	340	261	340	295
679	261	295	261	340	261	340	295
680	261	295	261	340	261	340	295
681	261	295	261	340	261	340	295
682	261	295	261	340	261	340	295
683	259	292	259	340	259	340	292
684	259	292	259	340	259	340	292
685	259	292	259	340	259	340	292
686	259	292	259	340	259	340	292
687	259	292	259	340	259	340	292
688	259	292	259	340	259	340	292
689	261	295	261	340	261	340	295
690	259	292	259	340	259	340	292
691	259	292	259	340	259	340	292
692	259	292	259	340	259	340	292
693	259	292	259	340	259	340	292
694	259	292	259	340	259	340	292
695	259	292	259	340	259	340	292
696	259	292	259	340	259	340	292
697	259	292	259	340	259	340	292
698	259	292	259	340	259	340	292
699	259	292	259	340	259	340	292
700	259	292	259	340	259	340	292
701	259	292	259	340	259	340	292
702	261	295	261	340	261	340	295
703	261	295	261	340	261	340	295
704	261	295	261	340	261	340	295
705	261	295	261	340	261	340	295
706	261	295	261	340	261	340	295
707	261	295	261	340	261	340	295
708	261	295	261	340	261	340	295
709	261	295	261	340	261	340	295
710	259	292	259	340	259	340	292
711	261	295	261	340	261	340	295
712	259	292	259	340	259	340	292
713	261	295	261	340	261	340	295
714	259	292	259	340	259	340	292
715	259	292	259	340	259	340	292
716	261	295	261	340	261	340	295
717	261	295	261	340	261	340	295
718	261	295	261	340	261	340	295
719	261	295	261	340	261	340	295
720	261	295	261	340	261	340	295
721	260	293	260	340	260	340	293
722	260	293	260	340	260	340	293
723	260	293	260	340	260	340	293
724	262	296	262	340	262	340	296
